id,email,currency,amount
37,Brendan.Stephan.124650@optiopay.com,USD,-1831
38,Brendan.Sacha.140706@optiopay.com,USD,-1463
39,Yoshik.Cecilia.764@optiopay.com,USD,-179
40,Yoshik.Giuseppina.89189@optiopay.com,EUR,93
41,Brendan.Giuseppina.167293@optiopay.com,EUR,-511
42,Cristi.Wilton.58580@optiopay.com,EUR,516
43,Catalina.Sebastian.625@optiopay.com,EUR,430
44,Cecilia.Lise.92171@optiopay.com,EUR,1956
45,Cecilia.Lise.4096@optiopay.com,USD,2714
46,Brendan.Lise.128544@optiopay.com,EUR,104
47,Elizbeth.Lise.35744@optiopay.com,EUR,2413
48,Emelina.Sacha.78766@optiopay.com,USD,2206
49,Stephan.Ara.72241@optiopay.com,USD,2314
50,Cristi.Wilton.173240@optiopay.com,USD,-1056
51,Brendan.Sebastian.93229@optiopay.com,EUR,2107
52,Quinton.Ladonna.123465@optiopay.com,EUR,2112
53,Roxann.Emelina.179437@optiopay.com,EUR,1304
54,Catalina.Donnell.113466@optiopay.com,EUR,-846
55,Giselle.Giselle.134146@optiopay.com,USD,1866
56,Stephan.Stephan.36155@optiopay.com,USD,-37
57,Yoshik.Giuseppina.89189@optiopay.com,EUR,-1200
58,Micki.Wilton.68571@optiopay.com,USD,-424
59,Lise.Catalina.142252@optiopay.com,EUR,-1707
60,Sacha.Micki.16@optiopay.com,USD,2625
61,Giselle.Ara.32189@optiopay.com,USD,-667
62,Elizbeth.Quinton.32079@optiopay.com,USD,-381
63,Sacha.Giselle.78752@optiopay.com,USD,337
64,Catalina.Catalina.114823@optiopay.com,EUR,2398
65,Cecilia.Roxann.44731@optiopay.com,USD,-1853
66,Stephan.Cecilia.23646@optiopay.com,EUR,2653
67,Giselle.Yoshik.182399@optiopay.com,EUR,-966
68,Yoshik.Cristi.176286@optiopay.com,EUR,1930
69,Brendan.Sacha.19564@optiopay.com,EUR,1987
70,Giselle.Sebastian.23855@optiopay.com,EUR,33
71,Wilton.Lise.68892@optiopay.com,EUR,-980
72,Wilton.Emelina.166741@optiopay.com,USD,-829
73,Giselle.Ara.32189@optiopay.com,USD,-1181
74,Yoshik.Ara.67102@optiopay.com,USD,-1039
75,Ara.Micki.175144@optiopay.com,USD,2119
76,Cristi.Wilton.58580@optiopay.com,EUR,-1553
77,Yoshik.Micki.168981@optiopay.com,USD,1728
78,Sebastian.Catalina.90282@optiopay.com,EUR,2438
79,Catalina.Catalina.171817@optiopay.com,EUR,-359
80,Micki.Sebastian.69719@optiopay.com,EUR,2652
81,Cecilia.Cristi.10597@optiopay.com,USD,2008
82,Cristi.Quinton.101145@optiopay.com,EUR,-215
83,Yoshik.Wilton.44350@optiopay.com,EUR,2867
84,Emelina.Roxann.109600@optiopay.com,EUR,1368
85,Quinton.Catalina.20736@optiopay.com,EUR,1550
86,Catalina.Yoshik.186231@optiopay.com,USD,2094
87,Lise.Roxann.27103@optiopay.com,USD,1608
88,Ladonna.Sacha.51793@optiopay.com,USD,-300
89,Ara.Lise.149134@optiopay.com,USD,-1452
90,Elizbeth.Lise.172487@optiopay.com,EUR,1948
91,Ara.Giuseppina.157211@optiopay.com,EUR,343
92,Quinton.Micki.45979@optiopay.com,USD,-499
93,Giuseppina.Roxann.17594@optiopay.com,USD,2106
94,Ladonna.Wilton.168130@optiopay.com,EUR,1616
95,Yoshik.Quinton.19912@optiopay.com,USD,-1786
96,Emelina.Wilton.11507@optiopay.com,EUR,2778
97,Roxann.Brendan.188596@optiopay.com,EUR,663
98,Donnell.Micki.130636@optiopay.com,USD,1988
99,Ladonna.Sacha.51793@optiopay.com,EUR,1027
100,Wilton.Catalina.135093@optiopay.com,EUR,-330
101,Cecilia.Sacha.78031@optiopay.com,USD,637
102,Emelina.Roxann.109600@optiopay.com,EUR,-207
103,Ladonna.Elizbeth.42349@optiopay.com,USD,-107
104,Elizbeth.Emelina.143930@optiopay.com,USD,-806
105,Brendan.Cecilia.98382@optiopay.com,USD,1999
106,Brendan.Sebastian.1296@optiopay.com,USD,1456
107,Donnell.Sebastian.93189@optiopay.com,EUR,-424
108,Quinton.Roxann.118426@optiopay.com,EUR,1704
109,Giuseppina.Cecilia.153950@optiopay.com,USD,-987
110,Ladonna.Giuseppina.100711@optiopay.com,USD,-1243
111,Catalina.Giselle.1@optiopay.com,EUR,-832
112,Yoshik.Wilton.44350@optiopay.com,USD,620
113,Giuseppina.Donnell.79689@optiopay.com,USD,1158
114,Giselle.Cecilia.126068@optiopay.com,EUR,-1489
115,Catalina.Giselle.1@optiopay.com,EUR,795
116,Cecilia.Micki.26621@optiopay.com,USD,1308
117,Quinton.Cecilia.111142@optiopay.com,USD,1913
118,Giuseppina.Donnell.79689@optiopay.com,USD,-1733
119,Stephan.Cecilia.23646@optiopay.com,EUR,1474
120,Elizbeth.Cecilia.109425@optiopay.com,USD,682
121,Ladonna.Elizbeth.9423@optiopay.com,EUR,2085
122,Donnell.Ara.256@optiopay.com,EUR,2123
123,Giuseppina.Lise.124991@optiopay.com,EUR,2096
124,Lise.Roxann.83648@optiopay.com,EUR,-893
125,Cristi.Stephan.1402@optiopay.com,USD,2679
126,Lise.Brendan.51109@optiopay.com,EUR,2917
127,Brendan.Quinton.31884@optiopay.com,USD,-86
128,Yoshik.Catalina.117599@optiopay.com,USD,1206
129,Cecilia.Stephan.149341@optiopay.com,USD,2028
130,Ladonna.Catalina.119886@optiopay.com,EUR,1754
131,Sebastian.Quinton.182338@optiopay.com,USD,-627
132,Giuseppina.Sacha.189351@optiopay.com,EUR,-579
133,Brendan.Giuseppina.81@optiopay.com,EUR,-303
134,Quinton.Elizbeth.51764@optiopay.com,EUR,11
135,Giuseppina.Donnell.79689@optiopay.com,EUR,1115
136,Elizbeth.Lise.172487@optiopay.com,EUR,877
137,Lise.Sebastian.114539@optiopay.com,EUR,1044
138,Ladonna.Brendan.127227@optiopay.com,EUR,-394
139,Catalina.Yoshik.188492@optiopay.com,USD,2707
140,Lise.Lise.118411@optiopay.com,USD,1133
141,Yoshik.Quinton.19912@optiopay.com,EUR,-65
142,Ladonna.Ladonna.114023@optiopay.com,EUR,488
143,Cristi.Lise.125572@optiopay.com,EUR,1789
144,Giselle.Ara.32189@optiopay.com,EUR,2483
145,Emelina.Giuseppina.104574@optiopay.com,USD,-1807
146,Cecilia.Roxann.44731@optiopay.com,USD,1961
147,Stephan.Stephan.142394@optiopay.com,USD,533
148,Ara.Giuseppina.104429@optiopay.com,EUR,-1708
149,Cecilia.Lise.4096@optiopay.com,EUR,1602
150,Cristi.Giuseppina.70960@optiopay.com,USD,-1558
151,Ladonna.Stephan.52712@optiopay.com,EUR,2973
152,Quinton.Ladonna.123465@optiopay.com,EUR,2785
153,Sebastian.Ladonna.157886@optiopay.com,EUR,-399
154,Lise.Giuseppina.172711@optiopay.com,USD,164
155,Giuseppina.Catalina.10000@optiopay.com,EUR,-468
156,Lise.Roxann.27103@optiopay.com,EUR,524
157,Brendan.Yoshik.138604@optiopay.com,USD,1068
158,Donnell.Quinton.35091@optiopay.com,EUR,2383
159,Giuseppina.Ara.125566@optiopay.com,USD,1840
160,Ladonna.Stephan.129033@optiopay.com,USD,-138
161,Elizbeth.Cecilia.109425@optiopay.com,USD,352
162,Giuseppina.Sacha.4526@optiopay.com,EUR,1860
163,Cecilia.Roxann.132515@optiopay.com,EUR,1641
164,Giselle.Sacha.18836@optiopay.com,EUR,61
165,Roxann.Sacha.166987@optiopay.com,USD,-1413
166,Sacha.Quinton.96024@optiopay.com,USD,110
167,Brendan.Stephan.124650@optiopay.com,USD,377
168,Sebastian.Giselle.57867@optiopay.com,USD,2779
169,Donnell.Ara.256@optiopay.com,EUR,-332
170,Sebastian.Quinton.159181@optiopay.com,EUR,-1922
171,Wilton.Wilton.100781@optiopay.com,USD,2566
172,Catalina.Giselle.1@optiopay.com,USD,96
173,Yoshik.Micki.11387@optiopay.com,USD,-112
174,Elizbeth.Emelina.162460@optiopay.com,EUR,2050
175,Lise.Sebastian.114539@optiopay.com,EUR,107
176,Elizbeth.Giselle.82077@optiopay.com,EUR,492
177,Giselle.Sebastian.23855@optiopay.com,USD,-1500
178,Catalina.Lise.28561@optiopay.com,EUR,-1725
179,Cristi.Lise.125572@optiopay.com,USD,298
180,Yoshik.Giuseppina.157405@optiopay.com,USD,-217
181,Brendan.Sebastian.1296@optiopay.com,USD,-1948
182,Cristi.Giuseppina.70960@optiopay.com,USD,936
183,Giuseppina.Yoshik.13046@optiopay.com,USD,204
184,Yoshik.Micki.11387@optiopay.com,USD,2457
185,Ladonna.Catalina.119886@optiopay.com,EUR,291
186,Cecilia.Roxann.132515@optiopay.com,USD,-510
187,Elizbeth.Sebastian.22432@optiopay.com,EUR,41
188,Wilton.Catalina.135093@optiopay.com,EUR,-1818
189,Micki.Brendan.43257@optiopay.com,USD,2351
190,Giuseppina.Sacha.4526@optiopay.com,EUR,666
191,Yoshik.Cristi.176286@optiopay.com,USD,-1820
192,Yoshik.Micki.16828@optiopay.com,USD,-177
193,Yoshik.Sacha.95733@optiopay.com,EUR,1409
194,Donnell.Sacha.7690@optiopay.com,EUR,1777
195,Donnell.Sacha.7690@optiopay.com,USD,-27
196,Elizbeth.Lise.35744@optiopay.com,USD,161
197,Stephan.Brendan.44697@optiopay.com,USD,1530
198,Roxann.Giuseppina.36254@optiopay.com,USD,1638
199,Catalina.Catalina.171817@optiopay.com,USD,-1056
200,Cristi.Cristi.109019@optiopay.com,USD,-413
201,Quinton.Brendan.172400@optiopay.com,EUR,2104
202,Micki.Wilton.148478@optiopay.com,EUR,2376
203,Lise.Cecilia.130321@optiopay.com,EUR,-427
204,Wilton.Catalina.135093@optiopay.com,USD,561
205,Elizbeth.Lise.172487@optiopay.com,USD,954
206,Yoshik.Ladonna.126124@optiopay.com,EUR,-1868
207,Elizbeth.Emelina.162460@optiopay.com,USD,828
208,Giselle.Ara.167636@optiopay.com,USD,1017
209,Roxann.Emelina.179437@optiopay.com,USD,324
210,Catalina.Yoshik.186231@optiopay.com,USD,2120
211,Quinton.Catalina.20736@optiopay.com,EUR,1704
212,Sebastian.Cecilia.9244@optiopay.com,EUR,-35
213,Ladonna.Sacha.51793@optiopay.com,EUR,-1912
214,Quinton.Giuseppina.59370@optiopay.com,USD,698
215,Catalina.Sebastian.625@optiopay.com,USD,-215
216,Brendan.Sacha.126265@optiopay.com,EUR,1383
217,Giuseppina.Sacha.4526@optiopay.com,USD,-1303
218,Elizbeth.Sebastian.22432@optiopay.com,EUR,-412
219,Brendan.Yoshik.50625@optiopay.com,USD,1344
220,Giselle.Sebastian.23855@optiopay.com,EUR,1903
221,Emelina.Lise.95935@optiopay.com,EUR,2527
222,Yoshik.Micki.168981@optiopay.com,USD,99
223,Emelina.Giuseppina.182069@optiopay.com,EUR,1373
224,Giselle.Giuseppina.61187@optiopay.com,USD,2772
225,Ladonna.Catalina.119886@optiopay.com,EUR,-1351
226,Giuseppina.Sacha.189351@optiopay.com,EUR,368
227,Giselle.Roxann.83521@optiopay.com,EUR,659
228,Quinton.Roxann.118426@optiopay.com,EUR,-584
229,Roxann.Emelina.128371@optiopay.com,EUR,-1634
230,Ara.Elizbeth.175800@optiopay.com,USD,2532
231,Emelina.Donnell.173712@optiopay.com,USD,-1066
232,Lise.Brendan.51109@optiopay.com,EUR,-1285
233,Giselle.Giuseppina.65064@optiopay.com,EUR,124
234,Donnell.Roxann.122678@optiopay.com,USD,-1156
235,Yoshik.Micki.16828@optiopay.com,USD,-1556
236,Roxann.Emelina.144162@optiopay.com,EUR,1329
237,Yoshik.Roxann.130256@optiopay.com,USD,-1816
238,Catalina.Donnell.113466@optiopay.com,EUR,241
239,Stephan.Stephan.142394@optiopay.com,USD,1779
240,Micki.Sebastian.69719@optiopay.com,EUR,-746
241,Brendan.Sacha.140706@optiopay.com,EUR,907
242,Cristi.Quinton.101145@optiopay.com,USD,1451
243,Ladonna.Sacha.51793@optiopay.com,EUR,2953
244,Yoshik.Micki.11387@optiopay.com,EUR,2474
245,Lise.Roxann.83648@optiopay.com,USD,-1049
246,Giselle.Sacha.18836@optiopay.com,USD,2133
247,Micki.Micki.51051@optiopay.com,USD,989
248,Stephan.Elizbeth.2401@optiopay.com,EUR,-1429
249,Sacha.Emelina.92226@optiopay.com,USD,-1134
250,Quinton.Ladonna.123465@optiopay.com,EUR,-99
251,Ara.Quinton.139659@optiopay.com,EUR,2331
252,Cristi.Elizbeth.46818@optiopay.com,EUR,-344
253,Elizbeth.Catalina.130673@optiopay.com,EUR,-398
254,Emelina.Elizbeth.63@optiopay.com,EUR,-1040
255,Emelina.Donnell.173712@optiopay.com,USD,2365
256,Brendan.Ladonna.22586@optiopay.com,EUR,-1413
257,Brendan.Sebastian.1296@optiopay.com,USD,-865
258,Ladonna.Elizbeth.9423@optiopay.com,EUR,1240
259,Lise.Wilton.146475@optiopay.com,USD,-1691
260,Ladonna.Brendan.127227@optiopay.com,USD,-823
261,Cristi.Donnell.32825@optiopay.com,USD,1890
262,Sacha.Giuseppina.84928@optiopay.com,USD,1757
263,Catalina.Wilton.140038@optiopay.com,EUR,2235
264,Emelina.Ladonna.134132@optiopay.com,USD,1333
265,Catalina.Yoshik.186231@optiopay.com,USD,-464
266,Quinton.Sacha.174151@optiopay.com,USD,2110
267,Elizbeth.Quinton.32079@optiopay.com,USD,-1366
268,Emelina.Roxann.90537@optiopay.com,USD,806
269,Wilton.Ladonna.158346@optiopay.com,EUR,2309
270,Ara.Lise.149134@optiopay.com,USD,-955
271,Yoshik.Micki.16828@optiopay.com,USD,-1115
272,Donnell.Roxann.122678@optiopay.com,EUR,947
273,Emelina.Brendan.89457@optiopay.com,USD,-128
274,Yoshik.Quinton.19912@optiopay.com,EUR,1704
275,Quinton.Sacha.52945@optiopay.com,EUR,443
276,Sacha.Donnell.173831@optiopay.com,EUR,1049
277,Micki.Micki.115623@optiopay.com,EUR,1317
278,Brendan.Sacha.19564@optiopay.com,USD,2672
279,Giuseppina.Donnell.140042@optiopay.com,USD,544
280,Wilton.Wilton.100781@optiopay.com,EUR,-1508
281,Ladonna.Elizbeth.9423@optiopay.com,EUR,22
282,Brendan.Donnell.186440@optiopay.com,USD,1600
283,Elizbeth.Quinton.32079@optiopay.com,USD,1711
284,Cecilia.Roxann.122040@optiopay.com,USD,2965
285,Giselle.Giuseppina.65064@optiopay.com,USD,453
286,Micki.Sacha.163696@optiopay.com,USD,357
287,Cristi.Sacha.38416@optiopay.com,EUR,-953
288,Sacha.Stephan.74739@optiopay.com,EUR,342
289,Brendan.Ladonna.22586@optiopay.com,USD,1556
290,Wilton.Ara.178192@optiopay.com,EUR,821
291,Ladonna.Elizbeth.9423@optiopay.com,USD,-1634
292,Wilton.Wilton.100781@optiopay.com,USD,-1359
293,Sacha.Emelina.92226@optiopay.com,EUR,697
294,Micki.Sebastian.8034@optiopay.com,EUR,-841
295,Sebastian.Stephan.107116@optiopay.com,USD,766
296,Lise.Wilton.146475@optiopay.com,USD,2302
297,Ara.Giselle.16019@optiopay.com,EUR,1865
298,Yoshik.Stephan.160000@optiopay.com,EUR,-238
299,Catalina.Giselle.1@optiopay.com,USD,1556
300,Quinton.Giuseppina.59370@optiopay.com,EUR,-178
301,Roxann.Micki.5228@optiopay.com,EUR,639
302,Roxann.Emelina.128371@optiopay.com,EUR,1407
303,Giuseppina.Donnell.140042@optiopay.com,EUR,2264
304,Micki.Wilton.148478@optiopay.com,USD,-282
305,Catalina.Catalina.171817@optiopay.com,EUR,2948
306,Micki.Wilton.68571@optiopay.com,USD,-1550
307,Lise.Micki.102298@optiopay.com,EUR,2236
308,Donnell.Cristi.24935@optiopay.com,EUR,1479
309,Roxann.Roxann.180293@optiopay.com,USD,1364
310,Ara.Lise.149134@optiopay.com,EUR,2668
311,Giselle.Ara.184112@optiopay.com,EUR,-983
312,Giuseppina.Yoshik.54537@optiopay.com,USD,111
313,Lise.Roxann.67258@optiopay.com,EUR,-1220
314,Ladonna.Catalina.119886@optiopay.com,EUR,2822
315,Wilton.Ara.178192@optiopay.com,USD,-1290
316,Cristi.Elizbeth.46818@optiopay.com,USD,-1422
317,Brendan.Sacha.19564@optiopay.com,USD,727
318,Quinton.Elizbeth.77858@optiopay.com,USD,-1496
319,Donnell.Ara.159841@optiopay.com,USD,2738
320,Yoshik.Ara.67102@optiopay.com,EUR,-142
321,Ara.Giuseppina.104429@optiopay.com,USD,1491
322,Ladonna.Wilton.168130@optiopay.com,USD,1775
323,Quinton.Ladonna.123465@optiopay.com,EUR,-1393
324,Micki.Elizbeth.47569@optiopay.com,USD,843
325,Brendan.Sebastian.1296@optiopay.com,USD,-423
326,Donnell.Quinton.35091@optiopay.com,USD,-46
327,Quinton.Catalina.20736@optiopay.com,EUR,-1762
328,Sacha.Quinton.107824@optiopay.com,EUR,1488
329,Giuseppina.Quinton.183029@optiopay.com,EUR,-369
330,Yoshik.Cecilia.764@optiopay.com,USD,-831
331,Catalina.Wilton.146037@optiopay.com,EUR,2098
332,Stephan.Yoshik.129814@optiopay.com,USD,367
333,Sacha.Donnell.173831@optiopay.com,EUR,166
334,Stephan.Cristi.108374@optiopay.com,USD,2714
335,Giselle.Ara.71900@optiopay.com,EUR,1804
336,Donnell.Roxann.122678@optiopay.com,EUR,-1348
337,Ara.Lise.149134@optiopay.com,EUR,2396
338,Ara.Wilton.17966@optiopay.com,EUR,2318
339,Giselle.Elizbeth.188506@optiopay.com,EUR,2258
340,Cecilia.Roxann.122040@optiopay.com,EUR,2526
341,Yoshik.Micki.168981@optiopay.com,EUR,-85
342,Roxann.Brendan.119133@optiopay.com,EUR,1116
343,Roxann.Roxann.180293@optiopay.com,USD,2805
344,Quinton.Donnell.41303@optiopay.com,USD,2119
345,Brendan.Yoshik.50625@optiopay.com,EUR,584
346,Sacha.Catalina.127470@optiopay.com,EUR,1886
347,Yoshik.Micki.168981@optiopay.com,USD,-592
348,Lise.Micki.102298@optiopay.com,USD,-753
349,Ladonna.Sebastian.80432@optiopay.com,USD,-966
350,Giuseppina.Sacha.189351@optiopay.com,USD,-1779
351,Yoshik.Giuseppina.89189@optiopay.com,EUR,1810
352,Giselle.Giuseppina.65064@optiopay.com,USD,169
353,Quinton.Brendan.172400@optiopay.com,EUR,2635
354,Emelina.Elizbeth.63@optiopay.com,USD,1696
355,Ladonna.Catalina.119886@optiopay.com,EUR,652
356,Quinton.Cecilia.97134@optiopay.com,USD,-791
357,Sacha.Stephan.74739@optiopay.com,EUR,1466
358,Cristi.Yoshik.159298@optiopay.com,EUR,-620
359,Lise.Giselle.118562@optiopay.com,EUR,561
360,Lise.Roxann.27103@optiopay.com,EUR,619
361,Cecilia.Cristi.10597@optiopay.com,USD,604
362,Elizbeth.Lise.35744@optiopay.com,EUR,1863
363,Sacha.Emelina.163144@optiopay.com,USD,-1159
364,Lise.Brendan.51109@optiopay.com,EUR,2627
365,Cristi.Quinton.101145@optiopay.com,EUR,-901
366,Brendan.Sebastian.93229@optiopay.com,EUR,-1593
367,Lise.Ladonna.30582@optiopay.com,EUR,877
368,Ara.Elizbeth.175800@optiopay.com,EUR,-662
369,Cecilia.Roxann.122040@optiopay.com,USD,-1050
370,Lise.Brendan.51109@optiopay.com,USD,2772
371,Roxann.Emelina.144162@optiopay.com,USD,1666
372,Giuseppina.Roxann.17594@optiopay.com,USD,1768
373,Quinton.Elizbeth.51764@optiopay.com,EUR,892
374,Quinton.Micki.45979@optiopay.com,USD,1533
375,Wilton.Lise.68892@optiopay.com,USD,1237
376,Giselle.Ara.167636@optiopay.com,EUR,-852
377,Emelina.Donnell.173712@optiopay.com,EUR,2005
378,Brendan.Sacha.140706@optiopay.com,EUR,1896
379,Sacha.Quinton.96024@optiopay.com,EUR,2482
380,Roxann.Emelina.144162@optiopay.com,EUR,-1373
381,Cristi.Wilton.58580@optiopay.com,EUR,51
382,Micki.Stephan.3596@optiopay.com,USD,-1044
383,Sacha.Emelina.92226@optiopay.com,USD,1448
384,Sebastian.Cristi.137130@optiopay.com,USD,2049
385,Ladonna.Sacha.51793@optiopay.com,USD,2255
386,Cristi.Stephan.1402@optiopay.com,EUR,1391
387,Emelina.Roxann.90537@optiopay.com,EUR,2357
388,Ladonna.Micki.160951@optiopay.com,USD,2303
389,Cecilia.Sacha.78031@optiopay.com,USD,-1665
390,Emelina.Wilton.11507@optiopay.com,USD,798
391,Ladonna.Sacha.104976@optiopay.com,USD,-1434
392,Ladonna.Donnell.154477@optiopay.com,EUR,-1746
393,Cristi.Wilton.173240@optiopay.com,EUR,-1099
394,Cristi.Yoshik.159298@optiopay.com,USD,2991
395,Ladonna.Wilton.168130@optiopay.com,EUR,2097
396,Emelina.Giselle.112159@optiopay.com,EUR,366
397,Giselle.Yoshik.182399@optiopay.com,USD,-869
398,Brendan.Donnell.186440@optiopay.com,EUR,-1716
399,Yoshik.Ladonna.126124@optiopay.com,EUR,1739
400,Roxann.Emelina.179437@optiopay.com,EUR,2242
401,Brendan.Quinton.31884@optiopay.com,EUR,-658
402,Wilton.Micki.182192@optiopay.com,USD,-858
403,Wilton.Emelina.166741@optiopay.com,EUR,1939
404,Lise.Wilton.58344@optiopay.com,EUR,-1672
405,Elizbeth.Sebastian.22432@optiopay.com,USD,-1120
406,Stephan.Sacha.187771@optiopay.com,USD,1400
407,Brendan.Lise.128544@optiopay.com,EUR,417
408,Ladonna.Elizbeth.9423@optiopay.com,USD,-666
409,Quinton.Brendan.172400@optiopay.com,EUR,571
410,Catalina.Yoshik.188492@optiopay.com,EUR,2135
411,Brendan.Yoshik.50625@optiopay.com,USD,-804
412,Giselle.Giuseppina.61187@optiopay.com,USD,1072
413,Quinton.Micki.45979@optiopay.com,EUR,2956
414,Wilton.Ladonna.158346@optiopay.com,USD,19
415,Giuseppina.Donnell.140042@optiopay.com,USD,1618
416,Lise.Wilton.88928@optiopay.com,USD,1413
417,Donnell.Ara.159841@optiopay.com,USD,-1222
418,Yoshik.Cecilia.764@optiopay.com,USD,1460
419,Sebastian.Cristi.137130@optiopay.com,USD,-1035
420,Brendan.Stephan.124650@optiopay.com,USD,2106
421,Ladonna.Quinton.31001@optiopay.com,EUR,944
422,Yoshik.Sacha.95733@optiopay.com,EUR,1182
423,Stephan.Sebastian.142217@optiopay.com,USD,1905
424,Ladonna.Sebastian.80432@optiopay.com,EUR,-1315
425,Cristi.Micki.41577@optiopay.com,EUR,2226
426,Catalina.Catalina.171817@optiopay.com,USD,-1544
427,Cecilia.Roxann.132515@optiopay.com,EUR,2416
428,Yoshik.Ladonna.2868@optiopay.com,USD,267
429,Wilton.Giselle.148615@optiopay.com,USD,868
430,Catalina.Lise.28561@optiopay.com,USD,-1122
431,Wilton.Stephan.48567@optiopay.com,EUR,1403
432,Quinton.Brendan.172400@optiopay.com,USD,-991
433,Roxann.Roxann.180293@optiopay.com,USD,2589
434,Micki.Wilton.90486@optiopay.com,USD,-422
435,Ladonna.Ladonna.114023@optiopay.com,USD,-1814
436,Ladonna.Brendan.127227@optiopay.com,USD,1643
437,Sacha.Giselle.78752@optiopay.com,USD,-607
438,Roxann.Quinton.172013@optiopay.com,EUR,2540
439,Donnell.Ara.256@optiopay.com,USD,-94
440,Elizbeth.Lise.172487@optiopay.com,EUR,-943
441,Cecilia.Micki.26621@optiopay.com,EUR,-423
442,Roxann.Quinton.172013@optiopay.com,EUR,-993
443,Roxann.Micki.5228@optiopay.com,EUR,-165
444,Yoshik.Quinton.19912@optiopay.com,EUR,2869
445,Wilton.Micki.182192@optiopay.com,USD,2235
446,Sebastian.Sebastian.38733@optiopay.com,USD,-925
447,Brendan.Yoshik.50625@optiopay.com,EUR,522
448,Quinton.Giuseppina.59370@optiopay.com,USD,2656
449,Giuseppina.Yoshik.13046@optiopay.com,USD,-1809
450,Wilton.Sebastian.162684@optiopay.com,USD,1069
451,Lise.Ladonna.30582@optiopay.com,EUR,81
452,Sebastian.Ladonna.157886@optiopay.com,EUR,120
453,Brendan.Lise.128544@optiopay.com,USD,2413
454,Sebastian.Cristi.137130@optiopay.com,EUR,1785
455,Yoshik.Sacha.95733@optiopay.com,EUR,559
456,Yoshik.Ladonna.2868@optiopay.com,USD,-306
457,Lise.Wilton.146475@optiopay.com,USD,2107
458,Stephan.Sebastian.142217@optiopay.com,USD,387
459,Giuseppina.Catalina.10000@optiopay.com,USD,-1027
460,Lise.Sebastian.114539@optiopay.com,USD,614
461,Elizbeth.Lise.35744@optiopay.com,EUR,352
462,Ladonna.Ladonna.114023@optiopay.com,EUR,34
463,Ladonna.Elizbeth.42349@optiopay.com,USD,2939
464,Ara.Micki.175144@optiopay.com,EUR,-135
465,Brendan.Lise.128544@optiopay.com,USD,982
466,Elizbeth.Giselle.82077@optiopay.com,EUR,1954
467,Micki.Brendan.43257@optiopay.com,EUR,748
468,Emelina.Giselle.112159@optiopay.com,EUR,1272
469,Elizbeth.Emelina.143930@optiopay.com,USD,-1603
470,Roxann.Quinton.172013@optiopay.com,USD,-868
471,Lise.Giuseppina.145992@optiopay.com,USD,-1971
472,Emelina.Brendan.89457@optiopay.com,EUR,2740
473,Giuseppina.Wilton.12224@optiopay.com,EUR,2115
474,Giselle.Ara.184112@optiopay.com,EUR,-1885
475,Cristi.Stephan.1402@optiopay.com,USD,1807
476,Sebastian.Ladonna.157886@optiopay.com,USD,2347
477,Lise.Brendan.51109@optiopay.com,USD,-1919
478,Ladonna.Catalina.119886@optiopay.com,USD,-1173
479,Elizbeth.Roxann.2125@optiopay.com,USD,166
480,Wilton.Wilton.100781@optiopay.com,USD,2620
481,Ara.Wilton.17966@optiopay.com,EUR,2596
